gl_account,category,description
001 - Kas,payment_lag,Approved via upload review
006 - Verkoop,payment_lag,Approved via upload review
008 - MMEM,overhead,Approved via upload review
4000,materials,Approved via upload review
4010,materials,Approved via upload review
4020,materials,Approved via upload review
5000,subcontractors,Approved via upload review
5010,subcontractors,Approved via upload review
60 - Verkoopboek Gilde,payment_lag,Approved via upload review
8000,billing,Approved via upload review
80000,billing,Approved via upload review
8001,billing,Approved via upload review
8002,billing,Approved via upload review
80020,billing,Approved via upload review
8004,billing,Approved via upload review
8005,billing,Approved via upload review
9000,overhead,Approved via upload review
9010,overhead,Approved via upload review
